timestamp,anomaly_score
1772323200,0.299422
1772323500,0.267230
1772323800,0.264503
1772324100,0.354161
1772324400,0.208757
1772324700,0.298225
1772325000,0.364197
1772325300,0.244377
1772325600,0.298456
1772325900,0.399262
1772326200,0.412481
1772326500,0.171232
1772326800,0.383126
1772327100,0.264188
1772327400,0.234561
1772327700,0.274814
1772328000,0.274826
1772328300,0.300823
1772328600,0.250565
1772328900,0.272901
1772329200,0.327715
1772329500,0.320735
1772329800,0.332199
1772330100,0.289910
1772330400,0.398573
1772330700,0.321651
1772331000,0.257015
1772331300,0.391600
1772331600,0.307685
1772331900,0.385858
1772332200,0.461243
1772332500,0.295111
1772332800,0.302320
1772333100,0.314695
1772333400,0.363321
1772333700,0.323495
1772334000,0.269164
1772334300,0.330660
1772334600,0.347980
1772334900,0.203288
1772335200,0.324271
1772335500,0.316062
1772335800,0.303926
1772336100,0.335431
1772336400,0.338257
1772336700,0.331056
1772337000,0.316200
1772337300,0.246002
1772337600,0.358702
1772337900,0.371403
1772338200,0.238837
1772338500,0.304941
1772338800,0.297389
1772339100,0.322498
1772339400,0.227885
1772339700,0.361558
1772340000,0.324812
1772340300,0.349069
1772340600,0.344635
1772340900,0.309310
1772341200,0.410968
1772341500,0.415946
1772341800,0.426146
1772342100,0.337503
1772342400,0.304418
1772342700,0.337421
1772343000,0.339700
1772343300,0.305420
1772343600,0.363568
1772343900,0.389617
1772344200,0.412865
1772344500,0.318430
1772344800,0.395005
1772345100,0.250734
1772345400,0.261093
1772345700,0.431817
1772346000,0.413772
1772346300,0.230696
1772346600,0.380575
1772346900,0.313723
1772347200,0.318104
1772347500,0.371622
1772347800,0.324956
1772348100,0.397734
1772348400,0.299830
1772348700,0.337471
1772349000,0.469713
1772349300,0.328102
1772349600,0.455371
1772349900,0.373811
1772350200,0.201838
1772350500,0.397559
1772350800,0.481036
1772351100,0.326971
1772351400,0.334069
1772351700,0.261518
1772352000,0.429411
1772352300,0.372840
1772352600,0.286117
1772352900,0.493755
1772353200,0.240742
1772353500,0.306798
1772353800,0.325758
1772354100,0.302890
1772354400,0.302230
1772354700,0.304114
1772355000,0.388161
1772355300,0.204521
1772355600,0.339368
1772355900,0.262741
1772356200,0.254084
1772356500,0.303300
1772356800,0.406117
1772357100,0.411375
1772357400,0.332860
1772357700,0.262472
1772358000,0.273377
1772358300,0.262610
1772358600,0.389545
1772358900,0.364028
1772359200,0.351169
1772359500,0.326530
1772359800,0.194285
1772360100,0.350017
1772360400,0.255435
1772360700,0.334665
1772361000,0.248649
1772361300,0.201920
1772361600,0.313932
1772361900,0.352226
1772362200,0.210686
1772362500,0.172065
1772362800,0.419833
1772363100,0.343588
1772363400,0.299967
1772363700,0.137016
1772364000,0.294435
1772364300,0.198854
1772364600,0.194169
1772364900,0.332807
1772365200,0.306140
1772365500,0.289983
1772365800,0.262141
1772366100,0.351562
1772366400,0.232671
1772366700,0.290904
1772367000,0.249084
1772367300,0.299007
1772367600,0.333079
1772367900,0.258644
1772368200,0.288707
1772368500,0.230765
1772368800,0.291311
1772369100,0.332871
1772369400,0.216720
1772369700,0.356020
1772370000,0.231674
1772370300,0.375274
1772370600,0.200513
1772370900,0.244121
1772371200,0.328788
1772371500,0.279273
1772371800,0.238230
1772372100,0.310194
1772372400,0.183633
1772372700,0.278061
1772373000,0.283774
1772373300,0.265455
1772373600,0.248949
1772373900,0.412335
1772374200,0.330378
1772374500,0.379137
1772374800,0.336671
1772375100,0.550749
1772375400,0.432249
1772375700,0.557900
1772376000,0.523076
1772376300,0.565433
1772376600,0.595181
1772376900,0.521462
1772377200,0.586123
1772377500,0.455971
1772377800,0.406245
1772378100,0.342202
1772378400,0.266535
1772378700,0.267245
1772379000,0.119716
1772379300,0.258881
1772379600,0.201459
1772379900,0.215318
1772380200,0.235636
1772380500,0.232282
1772380800,0.284653
1772381100,0.099910
1772381400,0.277250
1772381700,0.116433
1772382000,0.293629
1772382300,0.161405
1772382600,0.297901
1772382900,0.351954
1772383200,0.204572
1772383500,0.136781
1772383800,0.228461
1772384100,0.221063
1772384400,0.129242
1772384700,0.218151
1772385000,0.104895
1772385300,0.068850
1772385600,0.213063
1772385900,0.196079
1772386200,0.296646
1772386500,0.033377
1772386800,0.248205
1772387100,0.189514
1772387400,0.331952
1772387700,0.278431
1772388000,0.175216
1772388300,0.216687
1772388600,0.182022
1772388900,0.286129
1772389200,0.180756
1772389500,0.161094
1772389800,0.216425
1772390100,0.357997
1772390400,0.155896
1772390700,0.213468
1772391000,0.224056
1772391300,0.239210
1772391600,0.176273
1772391900,0.067227
1772392200,0.255405
1772392500,0.318519
1772392800,0.254881
1772393100,0.148223
1772393400,0.230640
1772393700,0.138771
1772394000,0.232383
1772394300,0.194685
1772394600,0.279235
1772394900,0.240964
1772395200,0.260264
1772395500,0.343427
1772395800,0.269699
1772396100,0.335577
1772396400,0.189104
1772396700,0.158615
1772397000,0.247787
1772397300,0.181325
1772397600,0.231632
1772397900,0.238232
1772398200,0.163229
1772398500,0.206553
1772398800,0.181415
1772399100,0.302999
1772399400,0.491992
1772399700,0.201757
1772400000,0.196443
1772400300,0.301927
1772400600,0.336511
1772400900,0.139657
1772401200,0.303058
1772401500,0.314482
1772401800,0.256174
1772402100,0.242747
1772402400,0.258974
1772402700,0.194201
1772403000,0.206798
1772403300,0.271944
1772403600,0.252597
1772403900,0.123063
1772404200,0.222631
1772404500,0.277937
1772404800,0.205922
1772405100,0.161712
1772405400,0.301661
1772405700,0.316176
1772406000,0.329711
1772406300,0.207266
1772406600,0.332376
1772406900,0.325404
1772407200,0.315084
1772407500,0.400841
1772407800,0.202568
1772408100,0.372997
1772408400,0.303701
1772408700,0.275771
1772409000,0.219631
1772409300,0.335185
1772409600,0.297111
1772409900,0.196746
1772410200,0.264798
1772410500,0.299397
1772410800,0.346596
1772411100,0.382330
1772411400,0.216311
1772411700,0.293633
1772412000,0.219148
1772412300,0.214969
1772412600,0.383494
1772412900,0.338507
1772413200,0.180608
1772413500,0.325856
1772413800,0.236506
1772414100,0.245665
1772414400,0.212840
1772414700,0.347853
1772415000,0.367694
1772415300,0.257938
1772415600,0.338044
1772415900,0.254798
1772416200,0.220707
1772416500,0.319387
1772416800,0.302803
1772417100,0.198730
1772417400,0.373810
1772417700,0.191086
1772418000,0.372303
1772418300,0.378598
1772418600,0.311891
1772418900,0.319729
1772419200,0.354431
1772419500,0.341683
1772419800,0.357919
1772420100,0.421805
1772420400,0.367341
1772420700,0.179099
1772421000,0.289837
1772421300,0.235075
1772421600,0.275180
1772421900,0.347957
1772422200,0.292373
1772422500,0.325062
1772422800,0.363440
1772423100,0.239740
1772423400,0.361216
1772423700,0.370949
1772424000,0.284768
1772424300,0.311760
1772424600,0.238281
1772424900,0.322196
1772425200,0.331473
1772425500,0.332921
1772425800,0.355069
1772426100,0.348053
1772426400,0.250702
1772426700,0.288372
1772427000,0.344643
1772427300,0.317858
1772427600,0.263824
