timestamp,anomaly_score
2026-03-01 00:00:00,0.410754
2026-03-01 00:05:00,0.296800
2026-03-01 00:10:00,0.328738
2026-03-01 00:15:00,0.264354
2026-03-01 00:20:00,0.304088
2026-03-01 00:25:00,0.265081
2026-03-01 00:30:00,0.357314
2026-03-01 00:35:00,0.302414
2026-03-01 00:40:00,0.294246
2026-03-01 00:45:00,0.330611
2026-03-01 00:50:00,0.276849
2026-03-01 00:55:00,0.352417
2026-03-01 01:00:00,0.326146
2026-03-01 01:05:00,0.328152
2026-03-01 01:10:00,0.242518
2026-03-01 01:15:00,0.307252
2026-03-01 01:20:00,0.430650
2026-03-01 01:25:00,0.310255
2026-03-01 01:30:00,0.345532
2026-03-01 01:35:00,0.520022
2026-03-01 01:40:00,0.454156
2026-03-01 01:45:00,0.272912
2026-03-01 01:50:00,0.272431
2026-03-01 01:55:00,0.095290
2026-03-01 02:00:00,0.438140
2026-03-01 02:05:00,0.336098
2026-03-01 02:10:00,0.336901
2026-03-01 02:15:00,0.439241
2026-03-01 02:20:00,0.289426
2026-03-01 02:25:00,0.237075
2026-03-01 02:30:00,0.271262
2026-03-01 02:35:00,0.280713
2026-03-01 02:40:00,0.234678
2026-03-01 02:45:00,0.384433
2026-03-01 02:50:00,0.273317
2026-03-01 02:55:00,0.332926
2026-03-01 03:00:00,0.352604
2026-03-01 03:05:00,0.299196
2026-03-01 03:10:00,0.240642
2026-03-01 03:15:00,0.390376
2026-03-01 03:20:00,0.437787
2026-03-01 03:25:00,0.409679
2026-03-01 03:30:00,0.290936
2026-03-01 03:35:00,0.376896
2026-03-01 03:40:00,0.411972
2026-03-01 03:45:00,0.324805
2026-03-01 03:50:00,0.546063
2026-03-01 03:55:00,0.508709
2026-03-01 04:00:00,0.274595
2026-03-01 04:05:00,0.401134
2026-03-01 04:10:00,0.348747
2026-03-01 04:15:00,0.383343
2026-03-01 04:20:00,0.323723
2026-03-01 04:25:00,0.399554
2026-03-01 04:30:00,0.455615
2026-03-01 04:35:00,0.409370
2026-03-01 04:40:00,0.322674
2026-03-01 04:45:00,0.389974
2026-03-01 04:50:00,0.273185
2026-03-01 04:55:00,0.299320
2026-03-01 05:00:00,0.214007
2026-03-01 05:05:00,0.340480
2026-03-01 05:10:00,0.391499
2026-03-01 05:15:00,0.328322
2026-03-01 05:20:00,0.333769
2026-03-01 05:25:00,0.318655
2026-03-01 05:30:00,0.345735
2026-03-01 05:35:00,0.380353
2026-03-01 05:40:00,0.329075
2026-03-01 05:45:00,0.463602
2026-03-01 05:50:00,0.520687
2026-03-01 05:55:00,0.303151
2026-03-01 06:00:00,0.293530
2026-03-01 06:05:00,0.483548
2026-03-01 06:10:00,0.419904
2026-03-01 06:15:00,0.402517
2026-03-01 06:20:00,0.234670
2026-03-01 06:25:00,0.397904
2026-03-01 06:30:00,0.286218
2026-03-01 06:35:00,0.331650
2026-03-01 06:40:00,0.427200
2026-03-01 06:45:00,0.348513
2026-03-01 06:50:00,0.268135
2026-03-01 06:55:00,0.409608
2026-03-01 07:00:00,0.311391
2026-03-01 07:05:00,0.326304
2026-03-01 07:10:00,0.429554
2026-03-01 07:15:00,0.406752
2026-03-01 07:20:00,0.372385
2026-03-01 07:25:00,0.289138
2026-03-01 07:30:00,0.363601
2026-03-01 07:35:00,0.403370
2026-03-01 07:40:00,0.300555
2026-03-01 07:45:00,0.369019
2026-03-01 07:50:00,0.273169
2026-03-01 07:55:00,0.441195
2026-03-01 08:00:00,0.318524
2026-03-01 08:05:00,0.323567
2026-03-01 08:10:00,0.403856
2026-03-01 08:15:00,0.360531
2026-03-01 08:20:00,0.361809
2026-03-01 08:25:00,0.216444
2026-03-01 08:30:00,0.365387
2026-03-01 08:35:00,0.329495
2026-03-01 08:40:00,0.411484
2026-03-01 08:45:00,0.407914
2026-03-01 08:50:00,0.366281
2026-03-01 08:55:00,0.420925
2026-03-01 09:00:00,0.274273
2026-03-01 09:05:00,0.196714
2026-03-01 09:10:00,0.456705
2026-03-01 09:15:00,0.242862
2026-03-01 09:20:00,0.393637
2026-03-01 09:25:00,0.263930
2026-03-01 09:30:00,0.403063
2026-03-01 09:35:00,0.392156
2026-03-01 09:40:00,0.294581
2026-03-01 09:45:00,0.316721
2026-03-01 09:50:00,0.362548
2026-03-01 09:55:00,0.249865
2026-03-01 10:00:00,0.331061
2026-03-01 10:05:00,0.325778
2026-03-01 10:10:00,0.404034
2026-03-01 10:15:00,0.337305
2026-03-01 10:20:00,0.347419
2026-03-01 10:25:00,0.297740
2026-03-01 10:30:00,0.340548
2026-03-01 10:35:00,0.318420
2026-03-01 10:40:00,0.350091
2026-03-01 10:45:00,0.409574
2026-03-01 10:50:00,0.287050
